station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.35136,-71.05937,3467,3245,6712,0.2435,0.3034,0.2744
49,Stuart St. at Charles St.,42.35115,-71.06629,3482,3160,6642,0.2275,0.2369,0.2324
132,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.37795,-71.11687,3338,3293,6631,0.2041,0.2088,0.2065
41,Packard's Corner - Comm. Ave. at Brighton Ave.,42.35226,-71.12383,3051,3167,6218,0.2703,0.273,0.2716
94,Charlestown - Main St at Austin St,42.3756,-71.06461,2922,2817,5739,0.3404,0.3224,0.3312
24,Seaport Square - Seaport Blvd. at Boston Wharf,42.35182,-71.04546,2994,2601,5595,0.1826,0.2702,0.2295
78,Union Square - Somerville,42.37964,-71.09532,3039,2543,5582,0.2957,0.2975,0.2967
133,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.38029,-71.12511,2716,2820,5536,0.2255,0.2574,0.2412
5,Northeastern U / North Parking Lot,42.34181,-71.09018,2813,2639,5452,0.1864,0.1649,0.1753
44,Faneuil Hall - Union St. at North St.,42.36058,-71.05687,2453,2892,5345,0.2265,0.1985,0.2136
31,Seaport Hotel,42.34883,-71.04175,2728,2615,5343,0.2187,0.2089,0.2137
89,Harvard Law School at Mass Ave / Jarvis St,42.37901,-71.11995,2488,2722,5210,0.2348,0.2186,0.2271
12,Ruggles Station / Columbus Ave.,42.33591,-71.0885,2727,2358,5085,0.2871,0.2494,0.2669
7,Fan Pier,42.35341,-71.04462,2686,2327,5013,0.1728,0.1545,0.163
115,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.37834,-71.04893,2465,2529,4994,0.418,0.4,0.4091
30,Brigham Cir / Huntington Ave,42.33407,-71.10522,2344,2617,4961,0.3225,0.3166,0.3197
19,Buswell Park,42.34753,-71.10583,2520,2423,4943,0.3054,0.279,0.2919
3,Colleges of the Fenway,42.34002,-71.10081,2161,2426,4587,0.2696,0.2999,0.2839
66,Allston Green District - Commonwealth Ave & Griggs St,42.34861,-71.13401,2006,2354,4360,0.4775,0.4372,0.459
86,Brookline Village - Station Street @ MBTA,42.3328,-71.1162,2256,1989,4245,0.274,0.2606,0.2669
71,Conway Park - Somerville Avenue,42.3834,-71.10759,2104,2127,4231,0.355,0.3398,0.3474
62,Longwood Ave/Riverway,42.3403,-71.10993,1873,2057,3930,0.2324,0.2718,0.2512
129,Harvard University River Houses / Plympton St at Memorial Drive,42.36983,-71.1182,1814,1956,3770,0.3154,0.2971,0.3066
63,Dorchester Ave. at Gillette Park,42.34402,-71.05705,1794,1867,3661,0.2142,0.238,0.2259
138,Wilson Square,42.38558,-71.11334,1724,1856,3580,0.2716,0.2285,0.2508
29,Innovation Lab - 125 Western Ave. at Batten Way,42.36373,-71.12457,1728,1659,3387,0.1802,0.1944,0.1874
27,Roxbury Crossing Station,42.33157,-71.09473,1677,1706,3383,0.2286,0.1914,0.2102
136,Biogen Idec - Binney St / Sixth St,42.3661,-71.08639,1623,1712,3335,0.2132,0.2471,0.2297
18,Harvard Real Estate - 219 Western Ave. at North Harvard St.,42.36337,-71.12979,1648,1675,3323,0.2991,0.25,0.2747
126,Washington Square at Washington St. / Beacon St.,42.33933,-71.13493,1447,1860,3307,0.3032,0.237,0.2742
127,JFK Crossing at Harvard St. / Thorndike St.,42.34656,-71.12837,1448,1770,3218,0.3808,0.3488,0.3664
134,Mass Ave / Linear Park,42.39783,-71.13052,1621,1552,3173,0.3305,0.3091,0.3196
8,Union Square - Brighton Ave. at Cambridge St.,42.35333,-71.13731,1541,1534,3075,0.2516,0.2278,0.2397
144,Teele Square at 239 Holland St,42.40276,-71.12691,1102,1491,2593,0.2944,0.2114,0.2591
65,Boston Convention & Exhibition Center,42.3475,-71.0441,1218,1175,2393,0.1804,0.1946,0.1876
51,Washington St. at Lenox St.,42.33488,-71.0791,1217,1169,2386,0.2883,0.3122,0.3005
104,Andrew Station - Dorchester Ave at Humboldt Pl,42.33072,-71.05704,1133,1017,2150,0.1288,0.1553,0.1428
77,Somerville City Hall,42.38643,-71.09641,852,1218,2070,0.2504,0.216,0.2362
116,Charles St at Beacon St,42.35605,-71.06985,890,996,1886,0.238,0.2775,0.2566
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.36167,-71.13802,910,741,1651,0.2227,0.2473,0.2363
142,Packard Ave / Powderhouse Blvd,42.40449,-71.12341,781,868,1649,0.1671,0.1677,0.1674
143,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,670,879,1549,0.2082,0.2075,0.2079
141,Powder House Circle,42.40088,-71.11677,662,779,1441,0.1964,0.2085,0.202
140,Ball Square,42.40015,-71.11271,735,665,1400,0.2015,0.2109,0.2064
83,South Bay Plaza,42.32594,-71.06593,662,571,1233,0.4151,0.3414,0.3755
117,Milk St at India St,42.35851,-71.05298,625,599,1224,0.3122,0.2016,0.2557
110,New Balance - Guest St. at Life St.,42.35697,-71.14544,539,469,1008,0.2772,0.1633,0.2163
100,Dudley Square,42.32865,-71.0842,416,492,908,0.3618,0.3462,0.3547
93,JFK / UMASS Station,42.32049,-71.05112,450,391,841,0.2992,0.2511,0.2735
106,West Broadway at Dorchester St,42.33569,-71.04586,379,426,805,0.331,0.277,0.3056
105,Mt Pleasant Ave / Dudley Town Common,42.32533,-71.07535,327,369,696,0.4526,0.4648,0.4583
101,BIDMC - Brookline at Burlington St,42.34573,-71.10069,345,315,660,0.1683,0.1623,0.1652
107,South Boston Library - 646 East Broadway,42.33574,-71.03877,377,274,651,0.3102,0.2493,0.2749
122,Hyde Square at Barbara St,42.321,-71.11083,300,327,627,0.2783,0.3033,0.2903
119,New Balance Store - Boylston at Dartmouth,42.35041,-71.07655,257,329,586,0.1824,0.2062,0.1928
92,University of Massachusetts Boston,42.31182,-71.0357,235,280,515,0.2393,0.3447,0.2874
124,Green St T,42.31058,-71.10734,245,201,446,0.2488,0.2082,0.2265
121,JP Centre - Centre Street at Myrtle Street,42.31309,-71.11418,219,226,445,0.1947,0.2146,0.2045
145,Summer St at Cutter St,42.394,-71.12041,207,175,382,0.32,0.2705,0.2932
120,JP Monument - South St at Centre St,42.30947,-71.11565,201,160,361,0.375,0.3731,0.3739
118,Hayes Square at Vine St.,42.37702,-71.05661,174,145,319,0.1724,0.2011,0.1881
125,Jackson Square T at Centre St,42.32291,-71.10016,116,118,234,0.2373,0.1897,0.2137
123,Egleston Square at Columbus Ave,42.31569,-71.09863,85,124,209,0.2903,0.4118,0.3397
108,E. Cottage St at Columbia Rd,42.32056,-71.06198,59,83,142,0.6386,0.4068,0.5423
109,Upham's Corner - Ramsey St at Dudley St,42.31723,-71.06542,30,44,74,0.4773,0.2667,0.3919
