station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
292,Southport Ave & Clark St,41.95708,-87.6642,238,214,452,0.243,0.2311,0.2367
222,Milwaukee Ave & Rockwell St,41.92019,-87.69303,225,219,444,0.2055,0.2089,0.2072
135,Halsted St & 21st St,41.85378,-87.64665,230,213,443,0.2066,0.1652,0.1851
290,Kedzie Ave & Palmer Ct,41.92153,-87.70732,218,224,442,0.3482,0.2844,0.3167
277,Ashland Ave & Grand Ave,41.89107,-87.66661,204,234,438,0.1453,0.1961,0.169
295,Broadway & Argyle St,41.97297,-87.65964,247,186,433,0.3172,0.3117,0.3141
297,Paulina St & Montrose Ave,41.96151,-87.67139,223,205,428,0.2976,0.3632,0.3318
237,Martin Luther King Dr & 29th St,41.84205,-87.617,224,200,424,0.29,0.2634,0.2759
349,Halsted St & Wrightwood Ave,41.92914,-87.64908,212,209,421,0.2297,0.2972,0.2637
215,Damen Ave & Madison St,41.88137,-87.67493,199,220,419,0.3682,0.3869,0.3771
124,Damen Ave & Cullerton St,41.85505,-87.67573,199,194,393,0.299,0.3065,0.3028
315,Leavitt St & Hirsch St,41.90672,-87.68278,196,196,392,0.2092,0.0714,0.1403
136,Racine Ave & 13th St,41.86505,-87.65696,194,176,370,0.3864,0.3608,0.373
351,Cottage Grove Ave & 51st St,41.80304,-87.60662,173,161,334,0.1925,0.1792,0.1856
147,Indiana Ave & 26th St,41.8457,-87.62248,174,159,333,0.2767,0.3218,0.3003
316,Damen Ave & Sunnyside Ave,41.96325,-87.67926,158,161,319,0.1988,0.1519,0.1756
339,Emerald Ave & 31st St,41.8382,-87.64514,129,161,290,0.2671,0.1783,0.2276
127,Lincoln Ave & Fullerton Ave,41.92591,-87.64926,142,148,290,0.2838,0.2817,0.2828
323,Sheridan Rd & Lawrence Ave,41.96952,-87.65469,152,129,281,0.1938,0.1974,0.1957
343,Racine Ave & Wrightwood Ave,41.92889,-87.65897,126,134,260,0.2612,0.2302,0.2462
345,Lake Park Ave & 56th St,41.79324,-87.58778,127,131,258,0.2824,0.3386,0.3101
341,Adler Planetarium,41.8661,-87.60727,118,140,258,0.2429,0.2627,0.252
272,Indiana Ave & 31st St,41.83884,-87.62186,133,124,257,0.1855,0.203,0.1946
275,Ashland Ave & 13th St,41.86523,-87.66651,134,107,241,0.4206,0.5821,0.5104
263,Rhodes Ave & 32nd St,41.83621,-87.61353,116,119,235,0.2941,0.1121,0.2043
204,Prairie Ave & Garfield Blvd,41.7951,-87.61936,129,105,234,0.1048,0.1008,0.1026
347,Ashland Ave & Grace St,41.95069,-87.6687,111,121,232,0.2479,0.1982,0.2241
218,Wells St & 19th St,41.8568,-87.63388,120,101,221,0.1485,0.325,0.2443
280,Morgan St & 31st St,41.8378,-87.65114,102,101,203,0.2772,0.3235,0.3005
203,Western Ave & 21st St,41.85394,-87.68524,103,92,195,0.6087,0.4175,0.5077
171,May St & Cullerton St,41.85514,-87.65413,88,82,170,0.1707,0.0909,0.1294
312,Clarendon Ave & Gordon Ter,41.95788,-87.64952,85,78,163,0.1923,0.2706,0.2331
208,Ashland Ave & 21st St,41.85381,-87.6659,89,68,157,0.1471,0.0337,0.0828
267,Lake Park Ave & 47th St,41.80944,-87.59188,75,66,141,0.3636,0.4267,0.3972
132,Wentworth Ave & 24th St,41.84924,-87.63171,73,55,128,0.1455,0.1918,0.1719
278,Wallace Ave & 35th St,41.83063,-87.64129,60,50,110,0.46,0.3833,0.4182
348,California Ave & 21st St,41.85402,-87.69544,52,57,109,0.2105,0.1731,0.1927
200,King Dr & 47th St,41.80985,-87.61628,44,50,94,0.48,0.4773,0.4787
265,Cottage Grove Ave & Oakwood Blvd,41.82298,-87.6071,47,46,93,0.3913,0.4043,0.3979
167,Damen Ave & Coulter St,41.8492,-87.67564,55,33,88,0.1212,0.1636,0.1477
193,State St & 29th St,41.84171,-87.62694,49,33,82,0.2424,0.1633,0.1951
201,Indiana Ave & 40th St,41.82168,-87.6216,38,36,74,0.2778,0.5526,0.4189
335,Calumet Ave & 35th St,41.83138,-87.61803,28,21,49,0.1429,0.1071,0.1224
262,Halsted St & 37th St,41.82707,-87.6458,21,23,44,0.0435,0.1429,0.0909
271,Cottage Grove Ave & 43rd St,41.8165,-87.60658,25,16,41,0.1875,0.16,0.1707
281,Western Ave & 24th St,41.84847,-87.68511,15,9,24,0.2222,0.0667,0.125
336,Cottage Grove Ave & 47th St,41.80985,-87.60676,7,10,17,0.3,0.4286,0.353
