station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
401,Allen St & Rivington St,40.7202,-73.98998,18715,18195,36910,0.2716,0.262,0.2667
161,LaGuardia Pl & W 3 St,40.72917,-73.9981,18850,18002,36852,0.2507,0.2438,0.2472
251,Mott St & Prince St,40.72318,-73.9948,18677,18173,36850,0.2832,0.278,0.2806
305,E 58 St & 3 Ave,40.76096,-73.96724,17693,18062,35755,0.1872,0.1913,0.1892
236,St Marks Pl & 2 Ave,40.72842,-73.98714,18753,16981,35734,0.2729,0.2758,0.2744
463,9 Ave & W 16 St,40.74207,-74.00443,18096,17631,35727,0.2382,0.2309,0.2345
439,E 4 St & 2 Ave,40.72628,-73.98978,18629,17094,35723,0.247,0.2475,0.2473
479,9 Ave & W 45 St,40.76019,-73.99126,17809,17842,35651,0.1964,0.1813,0.1889
388,W 26 St & 10 Ave,40.74972,-74.00295,17970,17331,35301,0.2812,0.2946,0.288
363,West Thames St,40.70835,-74.01713,17761,17440,35201,0.3068,0.3047,0.3057
348,W Broadway & Spring St,40.72491,-74.00155,18171,17015,35186,0.2842,0.2858,0.285
476,E 31 St & 3 Ave,40.74394,-73.97966,17422,17457,34879,0.2408,0.2445,0.2426
498,Broadway & W 32 St,40.74855,-73.98808,17062,17740,34802,0.2334,0.195,0.2146
326,E 11 St & 1 Ave,40.72954,-73.98427,16728,18059,34787,0.2862,0.286,0.2861
465,Broadway & W 41 St,40.75514,-73.98658,15326,19431,34757,0.1771,0.1903,0.1829
515,W 43 St & 10 Ave,40.76009,-73.99462,17719,16926,34645,0.1886,0.1862,0.1874
475,E 16 St & Irving Pl,40.73524,-73.98759,17154,16542,33696,0.2479,0.2349,0.2413
447,8 Ave & W 52 St,40.76371,-73.98516,16661,17026,33687,0.1801,0.2032,0.1915
336,Sullivan St & Washington Sq,40.73048,-73.99906,17469,16197,33666,0.2441,0.2397,0.2418
483,E 12 St & 3 Ave,40.73223,-73.9889,16813,16550,33363,0.2569,0.2534,0.2551
505,6 Ave & W 33 St,40.74901,-73.98848,16199,17126,33325,0.2094,0.2372,0.2229
494,W 26 St & 8 Ave,40.74735,-73.99724,16706,16573,33279,0.235,0.2308,0.2329
329,Greenwich St & N Moore St,40.72043,-74.01021,17063,16169,33232,0.2132,0.2187,0.216
545,E 23 St & 1 Ave,40.7365,-73.97809,16310,16838,33148,0.2464,0.2422,0.2443
433,E 13 St & Avenue A,40.72955,-73.98057,16645,16416,33061,0.2864,0.2619,0.2741
445,E 10 St & Avenue A,40.72741,-73.98142,16543,16468,33011,0.2904,0.2853,0.2878
486,Broadway & W 29 St,40.7462,-73.98856,16433,16542,32975,0.2088,0.2207,0.2147
325,E 19 St & 3 Ave,40.73625,-73.98474,16281,16403,32684,0.277,0.2616,0.2693
312,Allen St & E Houston St,40.72205,-73.98911,16440,16151,32591,0.2745,0.2646,0.2695
546,E 30 St & Park Ave S,40.74445,-73.98304,16278,15948,32226,0.2424,0.2381,0.2402
153,E 40 St & 5 Ave,40.75206,-73.98163,15824,16400,32224,0.1865,0.2178,0.2019
